fps,ep_len_mean,n_updates,value_loss,policy_loss,clipfrac,total_timesteps,explained_variance,approxkl,time_elapsed,serial_timesteps,policy_entropy,ep_reward_mean
619,834.0,100,0.0007171344,-0.00043534313,0.01931,5000000,0.5047999024391174,0.0030399226,6612.67191195488,1000000,12.048387,0.37169307
774,834.0,101,0.00041437286,-0.0002137906,0.022595,5050000,0.5922251045703888,0.0032106608,6693.394378662109,1010000,12.04419,0.23224572999999998
773,834.0,102,0.0001814826,-0.0008973787,0.048375003,5100000,0.7190821766853333,0.0047266628,6757.947993516922,1020000,12.038937,0.27724972
728,834.0,103,9.402051e-05,-0.0009681063,0.051740006,5150000,0.892133392393589,0.004724138,6822.608458995819,1030000,12.03591,0.11435305000000003
772,834.0,104,0.0006072507,-0.00043873352,0.031315,5200000,0.6167361438274384,0.0038594753,6891.2569098472595,1040000,12.033596,0.27921526
662,834.0,105,0.0001902166,-0.0003040832,0.068005,5250000,0.7529401034116745,0.0057967603,6955.945797920227,1050000,12.028177,0.33370204000000003
781,834.0,106,0.00017387938,-0.0006887849,0.039420005,5300000,0.8348340839147568,0.0042530918,7031.37052488327,1060000,12.022551,0.14525335
757,834.0,107,0.0005531673,0.00017183938,0.03154,5350000,0.6571618616580963,0.003692133,7095.372385263443,1070000,12.019938,0.40623449
767,834.0,108,0.000191843,-0.00048807327,0.019350002,5400000,0.763099193572998,0.0030356548,7161.404103755951,1080000,12.01461,0.37002178
770,834.0,109,0.0003686633,-0.0004548118,0.040929995,5450000,0.7457361817359924,0.004239707,7226.521248579025,1090000,12.003063,0.36253347
633,834.0,110,0.00021343646,-0.0005989774,0.03096,5500000,0.8196703344583511,0.0037289858,7291.396209478378,1100000,11.991748,0.35387427999999993
774,834.0,111,8.9267436e-05,-0.0011115356,0.041755,5550000,0.9184206277132034,0.004400427,7370.377104759216,1110000,11.985322,0.20300663000000005
780,834.0,112,0.0008866609,-0.00031338955,0.039810006,5600000,0.7127624154090881,0.004307102,7434.9374487400055,1120000,11.977027,0.24078177999999997
773,834.0,113,0.00036080295,3.4079567e-05,0.07356,5650000,0.7561824321746826,0.005939665,7499.005434751511,1130000,11.967335,0.50885126
763,834.0,114,0.0002444525,5.0861177e-05,0.050800003,5700000,0.8120793551206589,0.004905685,7563.655378341675,1140000,11.963836,0.34886344
770,834.0,115,0.00016201657,-0.00093275984,0.08411,5750000,0.8152965754270554,0.0063070073,7629.116533279419,1150000,11.961758,0.24825201000000002
742,834.0,116,0.00086224003,-0.0002894973,0.022875002,5800000,0.7219440937042236,0.0035486154,7694.051800727844,1160000,11.957324,0.51238416
733,834.0,117,0.00029453365,-0.00061325,0.029099999,5850000,0.7929174304008484,0.0036931902,7761.410364866257,1170000,11.951463,0.46298291999999996
738,834.0,118,0.0004912397,-0.00031131005,0.026955001,5900000,0.7929932773113251,0.0034223464,7829.584754705429,1180000,11.945722,0.3669806500000001
717,834.0,119,0.0003844631,-0.00033646822,0.046235003,5950000,0.8317034095525742,0.0044583823,7897.304048061371,1190000,11.943217,0.3262090899999999
583,834.0,120,0.0002688191,-0.0007562513,0.043440003,6000000,0.8741669207811356,0.0045183483,7967.02653336525,1200000,11.941648,0.33364071999999995
660,834.0,121,0.0006071856,-0.00036528998,0.033634998,6050000,0.808596283197403,0.0040955413,8052.672168016434,1210000,11.936241,0.37488198000000006
655,834.0,122,0.0004438259,-3.088409e-05,0.031925,6100000,0.8425544798374176,0.003934523,8128.342557191849,1220000,11.931843,0.6074236499999999
674,834.0,123,8.671026e-05,-0.00085461827,0.042940002,6150000,0.9244469553232193,0.0044028847,8204.651272773743,1230000,11.926677,0.32071757
635,834.0,124,0.00019386184,-0.0006033449,0.03434,6200000,0.8901637569069862,0.0039799525,8278.751588344574,1240000,11.920901,0.19002770000000002
673,834.0,125,0.00022451206,-0.001122752,0.058030006,6250000,0.8864948749542236,0.0051757344,8357.41426897049,1250000,11.912108,0.29641683999999996
708,834.0,126,0.00026850056,-0.0003154146,0.031434998,6300000,0.8283382505178452,0.003819532,8431.648311376572,1260000,11.903797,0.28975125
650,834.0,127,0.00018831984,-0.00089735945,0.03957,6350000,0.8838885128498077,0.0042823777,8502.25964307785,1270000,11.897587,0.14172951999999997
666,834.0,128,0.0005187427,-0.00014613225,0.040974997,6400000,0.8440748304128647,0.0040919236,8579.072528839111,1280000,11.891058,0.38082710999999997
645,834.0,129,0.00014043873,-0.00038316785,0.038595,6450000,0.9161991998553276,0.004310303,8654.147384881973,1290000,11.87983,0.4895342900000001
497,834.0,130,0.00015511451,-0.00044243684,0.022155,6500000,0.9229944124817848,0.003454184,8731.566385269165,1300000,11.873798,0.15104118
669,834.0,131,0.000198055,-0.0003109128,0.024529997,6550000,0.8759231641888618,0.0032612628,8832.079208374023,1310000,11.872837,0.28649978000000004
657,834.0,132,0.0003445486,-0.00032750194,0.032945,6600000,0.8291886299848557,0.0037744506,8906.735916852951,1320000,11.865752,0.31788712999999996
654,834.0,133,0.0003575695,-0.0003395916,0.021225,6650000,0.8585613518953323,0.003272037,8982.737916946411,1330000,11.857137,0.33813065999999997
600,834.0,134,0.00030813646,-0.00031017332,0.03474,6700000,0.8895711451768875,0.0036843931,9059.113881349564,1340000,11.850938,0.44325824999999996
636,834.0,135,0.00031607907,-0.00027554948,0.06036,6750000,0.8956153318285942,0.0052094655,9142.397284984589,1350000,11.847072,0.48591696999999995
636,834.0,136,0.00073955907,-0.0007835071,0.016135,6800000,0.8218504190444946,0.00297447,9221.011284351349,1360000,11.841388,0.6296754500000001
