mean 100 episode reward,current_lr,value_loss,time_elapsed,ent_coef_loss,episodes,eplenmean,n_updates,entropy,ent_coef,ep_rewmean,qf1_loss,qf2_loss,total timesteps,policy_loss,fps
0.2,0.00025,1.4186374e-05,3976,0.48889732,340,834.0,282561,7.2112226,7.16459e-05,0.21744110000000003,5.1123798e-06,6.5563017e-06,283560,-0.079305895,71
0.2,0.00025,7.72209e-05,4015,-26.514442,344,834.0,285897,7.1002383,6.875134e-05,0.21747375000000002,1.3748423e-05,9.5727155e-06,286896,-0.076782845,71
0.2,0.00025,2.6486672e-05,4054,-9.666604,348,834.0,289233,6.9610615,7.035495e-05,0.21748669999999998,2.0234364e-05,9.105265e-06,290232,-0.07098754,71
0.2,0.00025,6.2685262e-06,4093,8.687977,352,834.0,292569,9.3209305,7.7196295e-05,0.21862251000000005,5.1041998e-06,1.0767999e-05,293568,-0.08365271,71
0.2,0.00025,2.3887993e-05,4132,4.0956116,356,834.0,295905,6.633765,8.0210986e-05,0.21855135000000003,2.2683433e-05,1.5357318e-05,296904,-0.11642375,71
0.2,0.00025,0.00017412314,4193,22.681889,360,834.0,299241,7.0050354,8.3862375e-05,0.22332715,2.0167037e-05,4.4552795e-05,300240,-0.11882124,71
0.2,0.00025,1.9436466e-05,4232,-4.679657,364,834.0,302577,6.596413,8.536453e-05,0.24162042,1.1636329e-05,7.4512695e-06,303576,-0.11404726,71
0.2,0.00025,9.811275e-06,4271,-4.608118,368,834.0,305913,6.9817286,9.25033e-05,0.23212245000000004,1.1895514e-05,1.0874084e-05,306912,-0.10364973,71
0.3,0.00025,2.268499e-05,4312,19.127346,372,834.0,309249,6.651753,9.0304304e-05,0.25256959999999995,1.073324e-05,1.4364567e-05,310248,-0.14517406,71
0.3,0.00025,1.8952742e-05,4352,53.460636,376,834.0,312585,7.6114473,9.030413e-05,0.25210896,1.4684025e-05,1.43924535e-05,313584,-0.13764167,72
0.3,0.00025,6.0013434e-05,4392,23.314306,380,834.0,315921,7.0052857,0.00010400337,0.25210469,3.141369e-05,5.312691e-05,316920,-0.15392935,72
0.3,0.00025,8.319892e-05,4433,-4.215091,384,834.0,319257,7.726255,0.00010834108,0.25280932,7.1327944e-05,2.2390876e-05,320256,-0.17817459,72
0.3,0.00025,2.5842479e-05,4473,-1.201973,388,834.0,322593,6.9268956,0.000105288054,0.25300456000000004,3.3886135e-05,1.953364e-05,323592,-0.14345643,72
0.2,0.00025,9.710207e-06,4514,-3.295315,392,834.0,325929,6.5018454,0.00010209141,0.24397193,1.5087528e-05,2.2428363e-05,326928,-0.19822308,72
0.2,0.00025,5.542049e-05,4556,-7.285585,396,834.0,329265,6.4098997,9.882138e-05,0.24380206000000004,3.00358e-05,1.7658182e-05,330264,-0.13842788,72
0.2,0.00025,7.307801e-05,4595,-9.620622,400,834.0,332601,6.38123,0.00010917228,0.24322533999999998,2.4712714e-05,1.2628685e-05,333600,-0.1699416,72
0.2,0.00025,1.7086497e-05,4635,-4.146158,404,834.0,335937,6.6450458,0.00011983953,0.24367656000000001,2.3800116e-05,1.3157518e-05,336936,-0.19721983,72
0.2,0.00025,0.00011510725,4674,-0.77672315,408,834.0,339273,6.6791615,0.0001176305,0.24406091,3.2580807e-05,3.3544413e-05,340272,-0.21156144,72
0.2,0.00025,6.2870786e-05,4714,9.272932,412,834.0,342609,5.888941,0.00011572809,0.24469675999999999,0.00012143067,0.00013203493,343608,-0.2772493,72
0.3,0.00025,1.1720649e-05,4753,-9.093428,416,834.0,345945,6.538864,0.000116024145,0.25820318999999997,1.1560084e-05,1.6991984e-05,346944,-0.22327986,72
0.2,0.00025,1.4566694e-05,4792,-1.855542,420,834.0,349281,5.9596653,0.00011118429,0.19341756999999998,4.3128683e-05,4.148838e-05,350280,-0.23491722,73
0.2,0.00025,2.2230684e-05,4845,-2.7763982,424,834.0,352617,6.0619326,0.000116336814,0.20484462,1.7923001e-05,1.8599181e-05,353616,-0.2543278,72
0.2,0.00025,1.4138189e-05,4894,11.726803,428,834.0,355953,5.6941085,0.00011485936,0.18826688,1.4828917e-05,1.5030875e-05,356952,-0.25601888,72
0.2,0.00025,2.1431566e-05,4940,-8.645912,432,834.0,359289,5.7427397,0.000110955596,0.21097883000000003,3.903824e-05,2.9558232e-05,360288,-0.30214572,72
0.3,0.00025,2.249345e-05,4986,-12.312783,436,834.0,362625,6.245692,0.00010885602,0.26850982,0.00068514113,0.0007154472,363624,-0.2657966,72
0.2,0.00025,1.4826929e-05,5033,-1.3327024,440,834.0,365961,6.613592,0.00011343268,0.23077397000000002,6.260444e-05,6.500811e-05,366960,-0.25404656,72
0.2,0.00025,1.3405306e-05,5084,1.454644,444,834.0,369297,6.4513,0.000102123646,0.23614901999999996,1.3662583e-05,1.1120029e-05,370296,-0.27415055,72
0.2,0.00025,1.2909282e-05,5129,-6.144892,448,834.0,372633,6.594798,9.807283e-05,0.23902979,1.1634464e-05,2.049206e-05,373632,-0.24562228,72
0.2,0.00025,7.80737e-06,5172,-9.719757,452,834.0,375969,5.746309,9.473128e-05,0.23960562,0.00015095875,0.00016057855,376968,-0.28136775,72
0.3,0.00025,1.0183512e-05,5217,3.9697988,456,834.0,379305,5.943695,8.6000175e-05,0.2900601399999999,7.891101e-06,8.315652e-06,380304,-0.2510466,72
0.3,0.00025,1.1343222e-05,5263,-11.1757145,460,834.0,382641,5.425494,7.298684e-05,0.29269349,6.3056445e-06,7.3629e-06,383640,-0.2190037,72
0.3,0.00025,3.0245257e-05,5315,11.9673605,464,834.0,385977,5.45431,7.370689e-05,0.34775034000000005,0.00018180218,0.00018046056,386976,-0.2070097,72
0.3,0.00025,7.106851e-05,5358,-12.0901,468,834.0,389313,5.986327,7.535449e-05,0.34770502000000003,2.292883e-05,3.2554006e-05,390312,-0.21481228,72
0.3,0.00025,8.037467e-06,5412,24.877773,472,834.0,392649,6.3841696,8.658917e-05,0.3299324,7.843836e-05,9.214552e-05,393648,-0.18198454,72
0.4,0.00025,1.2711989e-05,5458,8.4298115,476,834.0,395985,6.243049,8.3308056e-05,0.36702568999999996,6.524878e-05,6.597852e-05,396984,-0.19065738,72
0.4,0.00025,2.0446892e-05,5532,-3.0043542,480,834.0,399321,5.7401376,7.7173325e-05,0.36775306,1.004735e-05,4.9130313e-06,400320,-0.18570402,72
0.4,0.00025,4.52314e-06,5578,8.857663,484,834.0,402657,5.7841425,7.158921e-05,0.43705215000000003,1.2560817e-05,8.0540385e-06,403656,-0.17300808,72
0.4,0.00025,1.6741084e-05,5624,1.0632763,488,834.0,405993,5.8589387,7.157017e-05,0.43605428999999996,1.8776393e-05,1.3559695e-05,406992,-0.18338656,72
0.4,0.00025,6.143755e-06,5670,0.86167574,492,834.0,409329,6.3659563,7.411183e-05,0.44007942,6.652447e-06,4.5377637e-06,410328,-0.16784653,72
0.5,0.00025,1.1979917e-05,5716,25.815739,496,834.0,412665,6.4704757,8.0185906e-05,0.45899331,6.4661335e-06,4.317176e-06,413664,-0.14751185,72
0.5,0.00025,1.3335603e-05,5765,6.689484,500,834.0,416001,6.8673306,8.92067e-05,0.50364974,1.4800357e-05,1.0680613e-05,417000,-0.1487885,72
0.5,0.00025,1.2159264e-05,5813,3.1087914,504,834.0,419337,6.5780525,9.493088e-05,0.52038821,1.1459339e-05,5.7374036e-06,420336,-0.17053047,72
0.5,0.00025,5.858482e-06,5863,-0.57620084,508,834.0,422673,6.317668,8.349569e-05,0.54164124,1.2014616e-05,8.7121225e-06,423672,-0.1412937,72
0.6,0.00025,1.8958646e-05,5915,2.6307678,512,834.0,426009,6.9121714,8.8410656e-05,0.5907581499999999,1.7647397e-05,1.2271326e-05,427008,-0.1420067,72
0.6,0.00025,1.5170488e-05,5986,-8.476351,516,834.0,429345,6.348467,9.052487e-05,0.57979825,2.3167846e-05,2.050181e-05,430344,-0.18069279,71
0.6,0.00025,1.901242e-05,6042,-11.616418,520,834.0,432681,6.4570684,8.920151e-05,0.5807893,1.24276885e-05,1.0858503e-05,433680,-0.12547342,71
0.5,0.00025,2.9555407e-05,6104,-4.925746,524,834.0,436017,6.2900276,8.243594e-05,0.4908897099999999,1.1386925e-05,1.698494e-05,437016,-0.119406566,71
0.5,0.00025,1.6716198e-05,6178,8.111352,528,834.0,439353,6.1246834,7.967427e-05,0.508933,5.05153e-05,5.141185e-05,440352,-0.14329171,71
0.5,0.00025,2.6755537e-05,6244,1.6602583,532,834.0,442689,6.083009,8.147421e-05,0.50527029,6.6241905e-06,7.631688e-06,443688,-0.12154737,71
0.5,0.00025,2.9835759e-05,6305,3.983395,536,834.0,446025,5.766453,7.5632386e-05,0.47901063,1.2217075e-05,1.9059999e-05,447024,-0.11559351,70
0.5,0.00025,6.105238e-05,6373,9.962155,540,834.0,449361,6.1246233,7.682914e-05,0.48063354999999996,1.4613882e-05,9.052523e-06,450360,-0.120908,70
0.5,0.00025,5.534067e-05,6435,-2.6134403,544,834.0,452697,5.1489086,7.4346644e-05,0.4790094999999999,1.6294573e-05,5.560388e-05,453696,-0.12058398,70
0.5,0.00025,8.488294e-06,6499,4.304359,548,834.0,456033,5.7462273,7.027938e-05,0.47615184,1.5950742e-05,9.989496e-06,457032,-0.12065829,70
0.5,0.00025,8.851091e-06,6551,-14.340788,552,834.0,459369,6.5481114,7.378602e-05,0.47439675000000003,0.00015431813,0.00015839981,460368,-0.07895292,70
0.4,0.00025,0.00020185634,6606,7.655034,556,834.0,462705,5.553177,7.0757465e-05,0.42694829,6.126556e-05,6.9234935e-05,463704,-0.10499027,70
0.4,0.00025,0.00011080364,6664,-1.855031,560,834.0,466041,5.9899015,6.968852e-05,0.41948985000000005,3.980683e-05,2.1941898e-05,467040,-0.10374084,70
0.4,0.00025,1.1475506e-05,6725,6.788726,564,834.0,469377,5.7797976,6.847834e-05,0.39023084999999996,1.0914593e-05,9.065433e-06,470376,-0.12254362,69
0.4,0.00025,0.00012104385,6787,-9.087142,568,834.0,472713,6.3606358,6.91249e-05,0.39073164,3.0607698e-05,4.4915934e-05,473712,-0.09786716,69
0.4,0.00025,2.23225e-05,6842,24.07267,572,834.0,476049,6.011307,7.323632e-05,0.38804523999999996,3.6987465e-05,4.1106712e-05,477048,-0.111294754,69
0.4,0.00025,4.0910207e-05,6901,13.24423,576,834.0,479385,5.6833053,7.382508e-05,0.38523984,1.2644904e-05,2.2627723e-05,480384,-0.14490786,69
0.4,0.00025,9.24274e-06,6966,-2.5083158,580,834.0,482721,6.0368896,8.0231264e-05,0.43152964999999993,2.3196326e-05,2.0361382e-05,483720,-0.112939686,69
0.4,0.00025,3.8080172e-05,7033,-7.6334367,584,834.0,486057,5.597277,7.8982644e-05,0.36154569,9.959489e-05,0.00012497432,487056,-0.11979018,69
0.4,0.00025,1.7725102e-05,7101,-9.070877,588,834.0,489393,5.9309006,7.994134e-05,0.40428595999999994,1.062218e-05,1.329896e-05,490392,-0.12461114,69
0.4,0.00025,7.77011e-05,7147,2.8996298,592,834.0,492729,5.715596,8.2962775e-05,0.41590958,2.579968e-05,5.242041e-05,493728,-0.13750274,69
0.4,0.00025,2.0133499e-05,7194,-4.3581944,596,834.0,496065,5.9629607,8.472874e-05,0.40506745999999993,1.7338882e-05,2.1653239e-05,497064,-0.14900178,69
0.5,0.00025,2.3634962e-05,7289,31.738083,600,834.0,499401,6.3189154,9.099564e-05,0.47086944,1.6734008e-05,9.8553155e-06,500400,-0.1484774,68
0.5,0.00025,1.26506675e-05,7335,-0.843709,604,834.0,502737,5.244936,8.21639e-05,0.5332599699999999,1.8801436e-05,1.805113e-05,503736,-0.15460576,68
0.5,0.00025,3.513133e-05,7384,3.4398975,608,834.0,506073,5.5368204,7.935683e-05,0.51339602,1.475456e-05,2.5107503e-05,507072,-0.16716585,68
